Name,Description,Values,Section
NACCREAS,Pierwotna przyczyna przyjścia do Ośrodka,"{'1': 'Wzięcie udziału w badaniu naukowym', '2': 'Przystąpienie do oceny klinicznej', '7': 'Zarówno wzięcie udziału w badaniu naukowym, jak i przystąpienie do oceny klinicznej lub inna przyczyna', '9': 'Brak danych'}",Dane demograficzne
NACCREFR,Główne źródło skierowania,"{'1': 'Nieprofesjonalne: samodzielne/krewny/przyjaciel', '2': 'Profesjonalne: klinicysta, pielęgniarka, doktor, inny pracownik opieki medycznej', '8': 'Inne', '9': 'Brak danych'}",Dane demograficzne
BIRTHMO,Miesiąc urodzenia pacjenta,"{'zakres': '1 - 12'}",Dane demograficzne
BIRTHYR,Rok urodzenia pacjenta,"{'zakres': '>= 1875'}",Dane demograficzne
SEX,Płeć pacjenta,"{'1': 'Męska', '2': 'Żeńska'}",Dane demograficzne
HISPANIC,Etniczność hiszpańska/latynoska,"{'0': 'Nie', '1': 'Tak', '9': 'Brak danych'}",Dane demograficzne
HISPOR,Pochodzenie hiszpańskie,"{'1': 'Meksykańskie, Chicano, or Meksykańsko-Amerykańskie', '2': 'Portorykańskie', '3': 'Kubańskie', '4': 'Dominikańskie', '5': 'Środkowomerykańskie', '6': 'Południowoamerykańskie', '50': 'Inne ', '88': 'Nie dotyczy; pacjent nie posiada pochodzenia hiszpańskiego', '99': 'Brak danych'}",Dane demograficzne
RACE,Rasa,"{'1': 'Biała', '2': 'Czarna lub Afroamerykańska', '3': 'Indianin amerykański lub Rdzenny mieszkaniec Alaski', '4': 'Rdzenny mieszkaniec Hawajów lub inny mieszkaniec Wysp Pacyfiku', '5': 'Azjata', '50': 'Inna ', '99': 'Brak danych'}",Dane demograficzne
RACESEC,Druga rasa,"{'1': 'Biała', '2': 'Czarna lub Afroamerykańska', '3': 'Indianin amerykański lub Rdzenny mieszkaniec Alaski', '4': 'Rdzenny mieszkaniec Hawajów lub inny mieszkaniec Wysp Pacyfiku', '5': 'Azjata', '50': 'Inne ', '88': 'Nie zgłoszono', '99': 'Brak danych'}",Dane demograficzne
RACETER,Trzecia rasa,"{'1': 'Biała', '2': 'Czarna lub Afroamerykańska', '3': 'Indianin amerykański lub Rdzenny mieszkaniec Alaski', '4': 'Rdzenny mieszkaniec Hawajów lub inny mieszkaniec Wysp Pacyfiku', '5': 'Azjata', '50': 'Inne ', '88': 'Nie zgłoszono', '99': 'Brak danych'}",Dane demograficzne
PRIMLANG,Główny język,"{'1': 'Angielski', '2': 'Hiszpański', '3': 'Mandaryński', '4': 'Kantoński', '5': 'Rosyjski', '6': 'Japoński', '8': 'Inny główny język ', '9': 'Brak danych'}",Dane demograficzne
EDUC,Lata edukacji,"{'zakres': '0 - 36'}",Dane demograficzne
MARISTAT,Stan cywilny,"{'1': 'W związku małżeńskim', '2': 'Owdowiały', '3': 'Rozwiedziony', '4': 'W separacji', '5': 'Nigdy nie był w związku małżeńskim (lub małżeństwo było unieważnione)', '6': 'Życje w związku małżeńskim/partnerskim', '9': 'Inny lub Brak danych'}",Dane demograficzne
NACCLIVS,Sytuacja życiowa,"{'1': 'Żyje samotnie', '2': 'Żyje z małżonkiem lub partnerem', '3': 'Żyje z krewnym lub przyjacielem', '4': 'Żyje z grupą', '5': 'Inna', '9': 'Brak danych'}",Dane demograficzne
INDEPEND,Poziom niezależności,"{'1': 'Zdolny do niezależnego życia', '2': 'Wymaga wsparcia w skomplikowanych czynnościach', '3': 'Wymaga wsparcia w prostych czynnościach', '4': 'Pełna zależność', '9': 'Brak danych'}",Dane demograficzne
RESIDENC,Rodzaj miejsca zamieszkania,"{'1': 'Jedno- lub wielorodzinna prywatna rezydencja (mieszkanie, kawalerka, dom)', '2': 'Społeczność emerytów lub w niezależnej grupie', '3': 'Mieszkania wspomagane, dom dorosłej rodziny lub dom opieki', '4': 'Ośrodek opieki pielęgniarskiej, dom starców, szpital lub hospicjum', '9': 'Inne lub nieznane'}",Dane demograficzne
HANDED,Czy pacjent jest lewo- czy praworęczny?,"{'1': 'Leworęczny', '2': 'Praworęczny', '3': 'Oburęczny', '9': 'Brak danych'}",Dane demograficzne
NACCAGE,Wiek pacjenta podczas wizyty,"{'zakres': '18 - 120'}",Dane demograficzne
NACCNIHR,Definicja rasy zaczerpnięta z NIH,"{'1': 'Biała', '2': 'Czarna lub Afroamerykańska', '3': 'Indianin amerykański lub Rdzenny mieszkaniec Alaski', '4': 'Rdzenny mieszkaniec Hawajów lub inny mieszkaniec Wysp Pacyfiku', '5': 'Azjata', '6': 'Wielorasowa', '9': 'Nieznana lub niejasna'}",Dane demograficzne
